Title,Restaurant,Menu,Category,Description,Price,Status,Action,# Sides,Side:Cost(Choose #),Size(Choose 1),Options:Cost(Choose 1),Additional options(Choose 1),Additional options(Choose 1),Add-ons:Cost (Choose Any),Temp (Choose 1)
"12"" Gondolier",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Beef, pepperoni, sausage, onions, mushrooms, green peppers, tomatoes, black olives, feta cheese",17.99,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.99, Pepperoni:1.99, Sausage:1.99, Ham:1.99, Beef:1.99, Meatballs:1.99, Bacon:1.99, Gyro Meat:1.99, Philly Steak:1.99, Anchovies:1.99, Mushrooms:1.99, Onions:1.99, Green Peppers:1.99, Jalapeños:1.99, Black Olives:1.99, Green Olives:1.99, Banana Peppers:1.99, Feta Cheese:1.99, Fresh Garlic:1.99, Tomatoes:1.99, Eggplant:1.99, Pineapple:1.99, Spinach:1.99, Broccoli:1.99, Basil:1.99, Sundried Tomatoes:1.99, Kalamata Olives:1.99",
"12"" Greek",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Gyro meat, feta cheese, Kalamata olives, and tomatoes",14.69,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.99, Pepperoni:1.99, Sausage:1.99, Ham:1.99, Beef:1.99, Meatballs:1.99, Bacon:1.99, Gyro Meat:1.99, Philly Steak:1.99, Anchovies:1.99, Mushrooms:1.99, Onions:1.99, Green Peppers:1.99, Jalapeños:1.99, Black Olives:1.99, Green Olives:1.99, Banana Peppers:1.99, Feta Cheese:1.99, Fresh Garlic:1.99, Tomatoes:1.99, Eggplant:1.99, Pineapple:1.99, Spinach:1.99, Broccoli:1.99, Basil:1.99, Sundried Tomatoes:1.99, Kalamata Olives:1.99",
"12"" Haawaiian",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,Pineapples and ham,14.69,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.99, Pepperoni:1.99, Sausage:1.99, Ham:1.99, Beef:1.99, Meatballs:1.99, Bacon:1.99, Gyro Meat:1.99, Philly Steak:1.99, Anchovies:1.99, Mushrooms:1.99, Onions:1.99, Green Peppers:1.99, Jalapeños:1.99, Black Olives:1.99, Green Olives:1.99, Banana Peppers:1.99, Feta Cheese:1.99, Fresh Garlic:1.99, Tomatoes:1.99, Eggplant:1.99, Pineapple:1.99, Spinach:1.99, Broccoli:1.99, Basil:1.99, Sundried Tomatoes:1.99, Kalamata Olives:1.99",
"12"" House",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Beef, pepperoni, ham, sausage, green peppers, onions, mushrooms",15.99,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.99, Pepperoni:1.99, Sausage:1.99, Ham:1.99, Beef:1.99, Meatballs:1.99, Bacon:1.99, Gyro Meat:1.99, Philly Steak:1.99, Anchovies:1.99, Mushrooms:1.99, Onions:1.99, Green Peppers:1.99, Jalapeños:1.99, Black Olives:1.99, Green Olives:1.99, Banana Peppers:1.99, Feta Cheese:1.99, Fresh Garlic:1.99, Tomatoes:1.99, Eggplant:1.99, Pineapple:1.99, Spinach:1.99, Broccoli:1.99, Basil:1.99, Sundried Tomatoes:1.99, Kalamata Olives:1.99",
"12"" Meat-Eaters",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Beef, sausage, ham, pepperoni",14.69,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.99, Pepperoni:1.99, Sausage:1.99, Ham:1.99, Beef:1.99, Meatballs:1.99, Bacon:1.99, Gyro Meat:1.99, Philly Steak:1.99, Anchovies:1.99, Mushrooms:1.99, Onions:1.99, Green Peppers:1.99, Jalapeños:1.99, Black Olives:1.99, Green Olives:1.99, Banana Peppers:1.99, Feta Cheese:1.99, Fresh Garlic:1.99, Tomatoes:1.99, Eggplant:1.99, Pineapple:1.99, Spinach:1.99, Broccoli:1.99, Basil:1.99, Sundried Tomatoes:1.99, Kalamata Olives:1.99",
"12"" Philly",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Tender slices of steak, sautéed green peppers, sautéed onions",14.69,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.99, Pepperoni:1.99, Sausage:1.99, Ham:1.99, Beef:1.99, Meatballs:1.99, Bacon:1.99, Gyro Meat:1.99, Philly Steak:1.99, Anchovies:1.99, Mushrooms:1.99, Onions:1.99, Green Peppers:1.99, Jalapeños:1.99, Black Olives:1.99, Green Olives:1.99, Banana Peppers:1.99, Feta Cheese:1.99, Fresh Garlic:1.99, Tomatoes:1.99, Eggplant:1.99, Pineapple:1.99, Spinach:1.99, Broccoli:1.99, Basil:1.99, Sundried Tomatoes:1.99, Kalamata Olives:1.99",
"12"" Super Veggie",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Green peppers, onions, mushrooms, tomatoes, black olives, green olives",14.69,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.99, Pepperoni:1.99, Sausage:1.99, Ham:1.99, Beef:1.99, Meatballs:1.99, Bacon:1.99, Gyro Meat:1.99, Philly Steak:1.99, Anchovies:1.99, Mushrooms:1.99, Onions:1.99, Green Peppers:1.99, Jalapeños:1.99, Black Olives:1.99, Green Olives:1.99, Banana Peppers:1.99, Feta Cheese:1.99, Fresh Garlic:1.99, Tomatoes:1.99, Eggplant:1.99, Pineapple:1.99, Spinach:1.99, Broccoli:1.99, Basil:1.99, Sundried Tomatoes:1.99, Kalamata Olives:1.99",
"12"" White - Cheese",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,Ricotta cheese for base (no pizza sauce) topped with mozzarella,11.89,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.99, Pepperoni:1.99, Sausage:1.99, Ham:1.99, Beef:1.99, Meatballs:1.99, Bacon:1.99, Gyro Meat:1.99, Philly Steak:1.99, Anchovies:1.99, Mushrooms:1.99, Onions:1.99, Green Peppers:1.99, Jalapeños:1.99, Black Olives:1.99, Green Olives:1.99, Banana Peppers:1.99, Feta Cheese:1.99, Fresh Garlic:1.99, Tomatoes:1.99, Eggplant:1.99, Pineapple:1.99, Spinach:1.99, Broccoli:1.99, Basil:1.99, Sundried Tomatoes:1.99, Kalamata Olives:1.99",
"12"" White - Florentine",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Ricotta cheese for base (no pizza sauce) topped with chicken, sautéed spinach, ricotta and mozzarella",13.59,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.99, Pepperoni:1.99, Sausage:1.99, Ham:1.99, Beef:1.99, Meatballs:1.99, Bacon:1.99, Gyro Meat:1.99, Philly Steak:1.99, Anchovies:1.99, Mushrooms:1.99, Onions:1.99, Green Peppers:1.99, Jalapeños:1.99, Black Olives:1.99, Green Olives:1.99, Banana Peppers:1.99, Feta Cheese:1.99, Fresh Garlic:1.99, Tomatoes:1.99, Eggplant:1.99, Pineapple:1.99, Spinach:1.99, Broccoli:1.99, Basil:1.99, Sundried Tomatoes:1.99, Kalamata Olives:1.99",
"12"" White - Margarita",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Ricotta cheese for base (no pizza sauce) topped with ricotta cheese, fresh sliced tomatoes, mozzarella cheese, topped with basil",13.59,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.99, Pepperoni:1.99, Sausage:1.99, Ham:1.99, Beef:1.99, Meatballs:1.99, Bacon:1.99, Gyro Meat:1.99, Philly Steak:1.99, Anchovies:1.99, Mushrooms:1.99, Onions:1.99, Green Peppers:1.99, Jalapeños:1.99, Black Olives:1.99, Green Olives:1.99, Banana Peppers:1.99, Feta Cheese:1.99, Fresh Garlic:1.99, Tomatoes:1.99, Eggplant:1.99, Pineapple:1.99, Spinach:1.99, Broccoli:1.99, Basil:1.99, Sundried Tomatoes:1.99, Kalamata Olives:1.99",
"14"" BBQ",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"BBQ sauce, grilled chicken, sautéed onions, bacon",16.79,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"14"" Cheese",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,Cheese Pizza,12.69,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"14"" Gondolier",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Beef, pepperoni, sausage, onions, mushrooms, green peppers, tomatoes, black olives, feta cheese",19.99,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"14"" Greek",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Gyro meat, feta cheese, Kalamata olives, and tomatoes",16.79,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"14"" Haawaiian",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,Pineapples and ham,16.79,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"14"" House",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Beef, pepperoni, ham, sausage, green peppers, onions, mushrooms",17.99,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"14"" Meat-Eaters",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Beef, sausage, ham, pepperoni",16.79,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"14"" Philly",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Tender slices of steak, sautéed green peppers, sautéed onions",16.79,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"14"" Super Veggie",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Green peppers, onions, mushrooms, tomatoes, black olives, green olives",16.79,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"14"" White - Cheese",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,Ricotta cheese for base (no pizza sauce) topped with mozzarella,13.89,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"14"" White - Florentine",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Ricotta cheese for base (no pizza sauce) topped with chicken, sautéed spinach, ricotta and mozzarella",15.59,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"14"" White - Margarita",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Ricotta cheese for base (no pizza sauce) topped with ricotta cheese, fresh sliced tomatoes, mozzarella cheese, topped with basil",15.59,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:2.29, Pepperoni:2.29, Sausage:2.29, Ham:2.29, Beef:2.29, Meatballs:2.29, Bacon:2.29, Gyro Meat:2.29, Philly Steak:2.29, Anchovies:2.29, Mushrooms:2.29, Onions:2.29, Green Peppers:2.29, Jalapeños:2.29, Black Olives:2.29, Green Olives:2.29, Banana Peppers:2.29, Feta Cheese:2.29, Fresh Garlic:2.29, Tomatoes:2.29, Eggplant:2.29, Pineapple:2.29, Spinach:2.29, Broccoli:2.29, Basil:2.29, Sundried Tomatoes:2.29, Kalamata Olives:2.29",
"8"" BBQ",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"BBQ sauce, grilled chicken, sautéed onions, bacon",8.89,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
"8"" Cheese",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,Cheese Pizza,6.99,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
"8"" Gondolier",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Beef, pepperoni, sausage, onions, mushrooms, green peppers, tomatoes, black olives, feta cheese",10.79,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
"8"" Greek",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Gyro meat, feta cheese, Kalamata olives, and tomatoes",8.89,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
"8"" Haawaiian",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,Pineapples and ham,8.89,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
"8"" House",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Beef, pepperoni, ham, sausage, green peppers, onions, mushrooms",9.79,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
"8"" Meat-Eaters",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Beef, sausage, ham, pepperoni",8.89,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
"8"" Philly",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Tender slices of steak, sautéed green peppers, sautéed onions",8.89,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
"8"" Super Veggie",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Green peppers, onions, mushrooms, tomatoes, black olives, green olives",8.89,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
"8"" White - Cheese",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,Ricotta cheese for base (no pizza sauce) topped with mozzarella,7.39,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
"8"" White - Florentine",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Ricotta cheese for base (no pizza sauce) topped with chicken, sautéed spinach, ricotta and mozzarella",7.59,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
"8"" White - Margarita",Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,"Ricotta cheese for base (no pizza sauce) topped with ricotta cheese, fresh sliced tomatoes, mozzarella cheese, topped with basil",7.59,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Chicken:1.19, Pepperoni:1.19, Sausage:1.19, Ham:1.19, Beef:1.19, Meatballs:1.19, Bacon:1.19, Gyro Meat:1.19, Philly Steak:1.19, Anchovies:1.19, Mushrooms:1.19, Onions:1.19, Green Peppers:1.19, Jalapeños:1.19, Black Olives:1.19, Green Olives:1.19, Banana Peppers:1.19, Feta Cheese:1.19, Fresh Garlic:1.19, Tomatoes:1.19, Eggplant:1.19, Pineapple:1.19, Spinach:1.19, Broccoli:1.19, Basil:1.19, Sundried Tomatoes:1.19, Kalamata Olives:1.19",
10 oz. Hamburger Steak,Gondolier Italian Restaurant and Pizza,Dinner,Plates,"Topped with grilled onions, mushrooms and provolone cheese. *Choice of French Fries, Rice, or Spaghetti*",12.99,Active,"Activate, Deactivate, Feature, Edit",0,,,"French Fries, Rice, Spaghetti",,,,
Chicken Souvlaki,Gondolier Italian Restaurant and Pizza,Dinner,Plates,"Chunks of marinated chicken breast served on a skewer with Greek salad, pita bread and tzatziki sauce. *Choice of French Fries, Rice, or Spaghetti*",13.99,Active,"Activate, Deactivate, Feature, Edit",0,,,"French Fries, Rice, Spaghetti",,,,
Chicken Tenders,Gondolier Italian Restaurant and Pizza,Dinner,Plates,"Homemade chicken tenders fried golden brown, served with a Greek salad, pita bread and tzatziki sauce. *Choice of French Fries, Rice, or Spaghetti*",12.99,Active,"Activate, Deactivate, Feature, Edit",0,,,"French Fries, Rice, Spaghetti",,,,
Gyro,Gondolier Italian Restaurant and Pizza,Dinner,Plates,"Slices of gyro meat, with Greek salad, pita bread and tzatziki sauce. *Choice of French Fries, Rice, or Spaghetti*",13.99,Active,"Activate, Deactivate, Feature, Edit",0,,,"French Fries, Rice, Spaghetti",,,,
Pork Souvlaki,Gondolier Italian Restaurant and Pizza,Dinner,Plates,"Hand selected, carefully trimmed, cubed tender pork marinated served on a skewer with Greek salad, pita bread and tzatziki sauce. *Choice of French Fries, Rice, or Spaghetti*",15.99,Active,"Activate, Deactivate, Feature, Edit",0,,,"French Fries, Rice, Spaghetti",,,,
